Review Lenght Deviation,Url Mention,Avearge Word Lenght,POS Adj,POS Verb,Filtered
211.1734735,0,3.812121212,0.084269663,0.039325843,0
184.1734735,0,4.326388889,0.112426036,0.035502959,0
207.1734735,0,4.479166667,0.066666667,0.054545455,1
212.1734735,0,4.306666667,0.109090909,0.042424242,0
212.1734735,0,4.044585987,0.057142857,0.045714286,1
320.8265265,0,4.306122449,0.089285714,0.017857143,1
50.82652648,0,4.463917526,0.094339623,0.037735849,1
389.8265265,0,4.647058824,0.073170732,0,0
214.1734735,0,4.083333333,0.107954545,0.039772727,0
137.1734735,0,3.911564626,0.089171975,0.038216561,1
193.8265265,0,4.16,0.109756098,0.06097561,1
214.1734735,0,4.313333333,0.086419753,0.030864198,0
156.1734735,0,4.316546763,0.11409396,0.033557047,0
126.8265265,0,3.967391304,0.101010101,0.02020202,0
10.17347352,0,4.147826087,0.112903226,0.040322581,0
214.1734735,0,4.115384615,0.052941176,0.035294118,1
14.82652648,0,4.349056604,0.051724138,0.017241379,0
407.8265265,0,3.833333333,0.025641026,0.076923077,0
217.1734735,0,4.108280255,0.088235294,0.017647059,1
212.1734735,0,4.155844156,0.086206897,0.063218391,0
214.1734735,0,3.784431138,0.068965517,0.045977011,0
211.1734735,0,4.025316456,0.063953488,0.005813953,0
215.1734735,0,3.813253012,0.039325843,0.039325843,0
117.8265265,0,4.155555556,0.082474227,0.051546392,0
211.1734735,0,4.342281879,0.098765432,0.037037037,0
209.1734735,0,4.210526316,0.078313253,0.018072289,0
214.1734735,0,4.209150327,0.074074074,0.043209877,0
210.1734735,0,4.070512821,0.082840237,0.041420118,1
313.8265265,0,3.962962963,0.112903226,0.064516129,0
117.1734735,0,4.185185185,0.078431373,0.071895425,0
212.1734735,0,4.452054795,0.111801242,0.01863354,1
217.1734735,0,3.9875,0.054347826,0.059782609,0
214.1734735,0,3.778443114,0.05027933,0.072625698,0
279.8265265,0,3.75,0.083333333,0.083333333,0
205.1734735,0,4.177631579,0.082840237,0.023668639,0
212.1734735,0,4.238410596,0.097701149,0.022988506,0
213.1734735,0,4.202614379,0.078787879,0.042424242,0
46.17347352,0,4.422413793,0.102362205,0.015748031,1
38.82652648,0,4.281553398,0.071428571,0,0
210.1734735,0,4.109677419,0.078313253,0.024096386,0
146.8265265,0,3.943181818,0.07,0,1
134.8265265,0,3.89010989,0.069306931,0.059405941,0
211.1734735,0,3.919254658,0.083333333,0.027777778,0
155.8265265,0,4.219512195,0.078651685,0.02247191,0
209.1734735,0,4,0.083333333,0.071428571,0
109.8265265,0,4.141304348,0.091836735,0.051020408,0
372.8265265,0,3.75,0.1,0.02,0
36.17347352,0,4.382608696,0.056338028,0.028169014,0
403.8265265,0,4.085714286,0.073170732,0.024390244,0
217.8265265,0,4.85483871,0.147058824,0.014705882,0
122.1734735,0,4.101449275,0.077419355,0.025806452,1
379.8265265,0,4.611111111,0.139534884,0.023255814,0
541.8265265,0,4,0.222222222,0,0
40.82652648,0,4.281553398,0.044247788,0.061946903,0
402.8265265,0,4.424242424,0.085714286,0.028571429,0
